"218";"Art";"m"
"219";"Artair";"m"
"220";"Arte";"m"
"221";"Artemas";"m"
"222";"Artemis";"m"
"223";"Artemus";"m"
"224";"Arther";"m"
"225";"Arthur";"m"
"226";"Artie";"m"
"227";"Artur";"m"
"228";"Arturo";"m"
"229";"Artus";"m"
"230";"Arty";"m"
"231";"Arv";"m"
"232";"Arvie";"m"
"233";"Arvin";"m"
"234";"Arvy";"m"
"235";"Asa";"m"
"236";"Ase";"m"
"237";"Ash";"m"
"238";"Ashbey";"m"
"239";"Ashby";"m"
"240";"Asher";"m"
"241";"Ashlin";"m"
"242";"Ashton";"m"
"243";"Aube";"m"
"244";"Auberon";"m"
"245";"Aubert";"m"
"246";"Augie";"m"
"247";"August";"m"
"248";"Augustin";"m"
"249";"Augusto";"m"
"250";"Augustus";"m"
"251";"Augy";"m"
"252";"Aurthur";"m"
"253";"Austen";"m"
"254";"Ave";"m"
"255";"Averell";"m"
"256";"Averill";"m"
"257";"Avery";"m"
"258";"Avictor";"m"
"259";"Avigdor";"m"
"260";"Avram";"m"
"261";"Avrom";"m"
"262";"Ax";"m"
"263";"Axe";"m"
"264";"Axel";"m"
"265";"Aylmar";"m"
"266";"Aylmer";"m"
"267";"Aymer";"m"
"268";"Bail";"m"
"269";"Bailey";"m"
"270";"Bailie";"m"
"271";"Baillie";"m"
"272";"Baily";"m"
"273";"Baird";"m"
"274";"Bald";"m"
"275";"Balduin";"m"
"276";"Baldwin";"m"
"277";"Bale";"m"
"278";"Ban";"m"
"279";"Bancroft";"m"
"280";"Bank";"m"
"281";"Banky";"m"
"282";"Bar";"m"
"283";"Barbabas";"m"
"284";"Barclay";"m"
"285";"Bard";"m"
"286";"Barde";"m"
"287";"Barn";"m"
"288";"Barnabas";"m"
"289";"Barnabe";"m"
"290";"Barnaby";"m"
"291";"Barnard";"m"
"292";"Barnebas";"m"
"293";"Barnett";"m"
"294";"Barney";"m"
"295";"Barnie";"m"
"296";"Barny";"m"
"297";"Baron";"m"
"298";"Barr";"m"
"299";"Barret";"m"
"300";"Barrett";"m"
"301";"Barri";"m"
"302";"Barris";"m"
"303";"Barron";"m"
"304";"Bart";"m"
"305";"Bartel";"m"
"306";"Barth";"m"
"307";"Barthel";"m"
"308";"Bartholemy";"m"
"309";"Bartholomeo";"m"
"310";"Bartholomeus";"m"
"311";"Bartholomew";"m"
"312";"Bartie";"m"
"313";"Bartlet";"m"
"314";"Bartlett";"m"
"315";"Bartolemo";"m"
"316";"Bartolomeo";"m"
"317";"Barton";"m"
"318";"Bartram";"m"
"319";"Barty";"m"
"320";"Bary";"m"
"321";"Baryram";"m"
"322";"Base";"m"
"323";"Basil";"m"
"324";"Basile";"m"
"325";"Basilio";"m"
"326";"Basilius";"m"
"327";"Bastian";"m"
"328";"Bastien";"m"
"329";"Bat";"m"
"330";"Batholomew";"m"
"331";"Baudoin";"m"
"332";"Bax";"m"
"333";"Baxie";"m"
"334";"Baxter";"m"
"335";"Baxy";"m"
"336";"Bay";"m"
"337";"Bayard";"m"
"338";"Beale";"m"
"339";"Bealle";"m"
"340";"Bear";"m"
"341";"Bearnard";"m"
"342";"Beau";"m"
"343";"Beaufort";"m"
"344";"Beauregard";"m"
"345";"Beck";"m"
"346";"Beltran";"m"
"347";"Ben";"m"
"348";"Bendick";"m"
"349";"Bendicty";"m"
"350";"Bendix";"m"
"351";"Benedetto";"m"
"352";"Benedick";"m"
"353";"Benedict";"m"
"354";"Benedicto";"m"
"355";"Benedikt";"m"
"356";"Bengt";"m"
"357";"Beniamino";"m"
"358";"Benito";"m"
"359";"Benjamen";"m"
"360";"Benjamin";"m"
"361";"Benji";"m"
"362";"Benjie";"m"
"363";"Benjy";"m"
"364";"Benn";"m"
"365";"Bennett";"m"
"366";"Benoit";"m"
"367";"Benson";"m"
"368";"Bent";"m"
"369";"Bentlee";"m"
"370";"Bentley";"m"
"371";"Benton";"m"
"372";"Benyamin";"m"
"373";"Ber";"m"
"374";"Berk";"m"
"375";"Berke";"m"
"376";"Berkeley";"m"
"377";"Berkie";"m"
"378";"Berkley";"m"
"379";"Berkly";"m"
"380";"Berky";"m"
"381";"Bern";"m"
"382";"Bernard";"m"
"383";"Bernardo";"m"
"384";"Bernarr";"m"
"385";"Berne";"m"
"386";"Bernhard";"m"
"387";"Berton";"m"
"388";"Bertram";"m"
"389";"Bertrand";"m"
"390";"Bertrando";"m"
"391";"Bevan";"m"
"392";"Bevin";"m"
"393";"Bevon";"m"
"394";"Bil";"m"
"395";"Bing";"m"
"396";"Bink";"m"
"397";"Binky";"m"
"398";"Birch";"m"
"399";"Birk";"m"
"400";"Biron";"m"
"401";"Bjorn";"m"
"402";"Blaine";"m"
"403";"Blane";"m"
"404";"Blayne";"m"
"405";"Bo";"m"
"406";"Bob";"m"
"407";"Bogart";"m"
"408";"Bogey";"m"
"409";"Boigie";"m"
"410";"Bond";"m"
"411";"Bondie";"m"
"412";"Bondon";"m"
"413";"Bondy";"m"
"414";"Bone";"m"
"415";"Boniface";"m"
"416";"Boone";"m"
"417";"Boonie";"m"
"418";"Boony";"m"
"419";"Boot";"m"
"420";"Boote";"m"
"421";"Booth";"m"
"422";"Boothe";"m"
"423";"Bord";"m"
"424";"Borden";"m"
"425";"Bordie";"m"
"426";"Bordy";"m"
"427";"Borg";"m"
"428";"Boris";"m"
"429";"Bourke";"m"
"430";"Bowie";"m"
"431";"Boy";"m"
"432";"Boyce";"m"
"433";"Boycey";"m"
"434";"Boycie";"m"
"435";"Boyd";"m"
"436";"Brad";"m"
"437";"Bradan";"m"
"438";"Brade";"m"
"439";"Braden";"m"
"440";"Bradford";"m"
"441";"Bradley";"m"
"442";"Bradly";"m"
"443";"Bradney";"m"
"444";"Brady";"m"
"445";"Bram";"m"
"446";"Bran";"m"
"447";"Brand";"m"
"448";"Branden";"m"
"449";"Brander";"m"
"450";"Brandon";"m"
"451";"Brandtr";"m"
"452";"Brandyn";"m"
"453";"Brannon";"m"
"454";"Brant";"m"
"455";"Brantley";"m"
"456";"Brendan";"m"
"457";"Brenden";"m"
"458";"Brendin";"m"
"459";"Brendis";"m"
"460";"Brendon";"m"
"461";"Brennan";"m"
"462";"Brennen";"m"
"463";"Brent";"m"
"464";"Bret";"m"
"465";"Brew";"m"
"466";"Brewer";"m"
"467";"Brewster";"m"
"468";"Brian";"m"
"469";"Briano";"m"
"470";"Briant";"m"
"471";"Brice";"m"
"472";"Brien";"m"
"473";"Brig";"m"
"474";"Brigg";"m"
"475";"Briggs";"m"
"476";"Brigham";"m"
"477";"Brion";"m"
"478";"Brnaba";"m"
"479";"Brnaby";"m"
"480";"Brock";"m"
"481";"Brockie";"m"
"482";"Brocky";"m"
"483";"Brod";"m"
"484";"Broddie";"m"
"485";"Broddy";"m"
"486";"Broderic";"m"
"487";"Broderick";"m"
"488";"Brodie";"m"
"489";"Brody";"m"
"490";"Brok";"m"
"491";"Bron";"m"
"492";"Bronnie";"m"
"493";"Bronny";"m"
"494";"Bronson";"m"
"495";"Brose";"m"
"496";"Bruce";"m"
"497";"Brucie";"m"
"498";"Bruis";"m"
"499";"Bruno";"m"
"500";"Bryan";"m"
"501";"Bryant";"m"
"502";"Bryanty";"m"
"503";"Bryce";"m"
"504";"Bryon";"m"
"505";"Buck";"m"
"506";"Buckie";"m"
"507";"Bucky";"m"
"508";"Bud";"m"
"509";"Budd";"m"
"510";"Buddie";"m"
"511";"Buddy";"m"
"512";"Buiron";"m"
"513";"Burch";"m"
"514";"Burg";"m"
"515";"Burgess";"m"
"516";"Burk";"m"
"517";"Burke";"m"
"518";"Burl";"m"
"519";"Burlie";"m"
"520";"Burnaby";"m"
"521";"Burnard";"m"
"522";"Burr";"m"
"523";"Burt";"m"
"524";"Burtie";"m"
"525";"Burton";"m"
"526";"Burty";"m"
"527";"Butch";"m"
"528";"Byram";"m"
"529";"Byran";"m"
"530";"Byrann";"m"
"531";"Byrle";"m"
"532";"Byrom";"m"
"533";"Byron";"m"
"534";"Cad";"m"
"535";"Caddric";"m"
"536";"Caesar";"m"
"537";"Caldwell";"m"
"538";"Cale";"m"
"539";"Caleb";"m"
"540";"Calhoun";"m"
"541";"Callean";"m"
"542";"Calv";"m"
"543";"Calvin";"m"
"544";"Cameron";"m"
"545";"Camey";"m"
"546";"Car";"m"
"547";"Carce";"m"
"548";"Care";"m"
"549";"Carl";"m"
"550";"Carleton";"m"
"551";"Carling";"m"
"552";"Carlo";"m"
"553";"Carlos";"m"
"554";"Carlyle";"m"
"555";"Carney";"m"
"556";"Carny";"m"
"557";"Carolus";"m"
"558";"Carr";"m"
"559";"Carrol";"m"
"560";"Carson";"m"
"561";"Cart";"m"
"562";"Carter";"m"
"563";"Carver";"m"
"564";"Casar";"m"
"565";"Case";"m"
"566";"Cash";"m"
"567";"Caspar";"m"
"568";"Casper";"m"
"569";"Cassius";"m"
"570";"Caz";"m"
"571";"Cazzie";"m"
"572";"Cchaddie";"m"
"573";"Cece";"m"
"574";"Cecilio";"m"
"575";"Cecilius";"m"
"576";"Ced";"m"
"577";"Cedric";"m"
"578";"Cello";"m"
"579";"Cesar";"m"
"580";"Cesare";"m"
